title|artist|year|location|duration|tempo|loudness|artist_hotness|song_hotness
Je Sais Que La Terre Est Plate|Raphaël|2008|France|148.74077|124.059|-9.636|0.39|0.55
On Efface|Julie Zenatti|2004||252.99546|80.084|-11.061|0.43|0.48
Howells Delight|The Baltimore Consort|0||78.0273|54.874|-24.14|0.0|nan
Martha Served|I Hate Sally|2007||163.63057|77.15|-5.795|0.33|nan
Zip-A-Dee-Doo-Dah (Song of the South)|Orlando Pops Orchestra|0||199.99302|120.382|-16.477|0.31|nan
Liquid Time (composition by John Goodsall)|Brand X|0|Sikeston, MO|279.35302|99.024|-12.474|0.36|0.45
Misery Path (From the Privilege of Evil)|Amorphis|0||255.03302|175.673|-4.393|0.55|0.33
Nuovi Re pt. I I (feat. Tek money - Lady Tambler)|Inoki|0||259.3171|87.999|-5.05|0.44|nan
Halloween|Dead Kennedys|1982||216.842|92.897|-4.264|0.54|0.79
Parto em terras distantes|Brigada Victor Jara|1998||312.99873|86.981|-13.885|0.36|nan
You Eclipsed By Me (Album Version)|Atreyu|2004|Orange County, CA|218.90567|157.715|-4.707|0.59|0.68
Shovel|Mistress|2005|Mass. - Boston|580.70159|146.331|-4.523|0.39|0.4
What Drives The Weak|Shadows Fall|2004|Boston, MA|283.48036|84.992|-4.076|0.46|0.69
Life Force|Vanessa Daou|0||229.66812|79.96|-19.293|0.4|0.27
The Dance Of Europe|Dave Brockie Experience|2001||135.8624|99.959|-3.312|0.34|0.36
Spoonie Is Back|Spoonie Gee|0|New York, NY|393.63873|135.503|-6.619|0.42|0.54
Blood Round Dance Song (World)|R. Carlos Nakai|1982||146.33751|104.989|-25.651|0.38|0.22
Crawling (Album Version)|Linkin Park|2000|Los Angeles, CA|208.95302|105.095|-6.052|0.79|0.87
Bennie|Koffi Olomidé|0||625.78893|89.572|-7.164|0.31|nan
Playa del sous-sol|Alain-François|0||172.01587|107.986|-5.704|0.3|nan
Fascinating Rhythm (Instrumental) (2007 Digital Remaster)|Billy May & His Orchestra|0||312.92036|103.532|-10.703|0.39|nan
I'm Not Moving|Phil Collins|1981|Chiswick, London, England|154.93179|100.042|-15.433|0.58|0.6
Grand Frère|Philippe Sarde|0|Neuilly-sur-Seine, France|528.22159|137.658|-23.178|0.34|nan
Up Above My Head|Sister Rosetta Tharpe & Marie|2004|Cotton Plant, AR|146.80771|80.893|-7.386|0.36|nan
Columbia|Oasis|0|Manchester, England|324.80608|100.146|-7.588|0.55|nan
Radar For Love|Kiss|0|New York, NY|241.08363|99.761|-8.021|0.59|0.54
Antarctica Starts Here|John Cale|1973|Garnant, Wales|199.96689|110.1|-20.172|0.48|nan
Out In The Street (Live) (2008 Digital Remaster)|UFO|0|Arizona|314.17424|131.5|-6.763|0.45|nan
Heavy On My Mind (Album Version)|Back Door Slam|2007|CANADA - Ontario|319.84281|92.971|-4.325|0.41|0.62
Everyone make love|Cool cavemen|0|Lille, France|234.762|93.715|-5.976|0.23|nan
Calm Da Seas|Dave Hollister|2008|LOWELL|258.16771|117.936|-5.193|0.46|0.43
Ran Kan Kan|Nestor Torres|0|Miami, FL|191.63383|78.843|-5.648|0.35|0.27
I Found You|The Impressions|1963|United States|207.35955|121.896|-16.489|0.41|nan
Afraid Of Change (Tribal Vocal Mix)|Casa Bulga|2003||401.24036|0.0|-7.327|0.0|nan
Grow Up_ Grow Old|Debbie Davies|0|Los Angeles, CA|283.79383|107.183|-7.961|0.34|0.33
Walk Away From Love|Willie Clayton|0|Indianola, MS|260.51873|105.863|-10.646|0.37|0.26
Rainbow Country (Red Gold And Green Version)|Bob Marley & The Wailers|2001||258.29832|152.99|-5.308|0.57|nan
Strange Things|Tanto Metro & Devonte|2004||158.1971|104.465|-6.712|0.34|0.0
Screamin' & Hollerin' The Blues|Alvin Youngblood Hart|0|Oakland, CA|208.84853|111.523|-9.186|0.35|0.33
Dholna Dholna|Naseebo Lal|0||376.16281|151.983|-12.746|0.0|nan
Parchman Farm|Hot Tuna|2004|San Francisco, CA|461.71383|138.512|-9.989|0.41|nan
A Lo Clasico|Daddy Yankee|2007|Puerto Rico|235.15383|91.026|-4.13|0.56|0.49
Zhi Xiang Ni hui Yi|Hacken Lee|0||424.82893|124.984|-15.198|0.34|nan
Amaze|Jimmy Riley|0||216.39791|159.943|-6.895|0.3|0.0
Radio Rape|The Cortinas|1978||219.01016|134.985|-7.687|0.37|0.29
Ain't No Game|Masta Ace Incorporated|1995|Brooklyn, NY|295.1571|88.12|-7.687|0.39|0.57
Cavaleiro De Aruanda|Jongo Trio|0||157.72689|144.581|-8.151|0.21|nan
TELL ME WHY|George Nooks|0||221.90975|152.172|-7.398|0.34|nan
Czwarty|Energy|0||310.9873|87.512|-5.941|0.42|nan
Washington Post (1998 Digital Remaster)|Felix Slatkin/Concert Arts Symphonic Band|0|St. Louis, MO|151.17016|124.056|-15.019|0.29|nan
No Pienses Asi|Eddie Palmieri|1973|New York, NY|266.50077|153.309|-17.886|0.37|nan
Cavalleria Rusticana|William Orbit|2000||199.8624|131.281|-21.82|0.42|0.5
Forever|Chris Brown|0|Fairfax, California|389.25016|85.322|-2.991|0.83|nan
Amor a Medias|HA-ASH|2005|Lousiana|253.90975|136.945|-5.548|0.39|0.58
15 Step|Radiohead|2007|Oxford, UK|237.21751|188.91|-7.057|0.68|0.48
I Love Your Way|Kashief Lindo|0||238.15791|86.481|-5.85|0.33|0.0
Lookin' For Me Somewhere|BoDeans|1986|Waukesha WI|186.20036|156.285|-13.845|0.41|0.3
Raise Your Hands|Bon Jovi|1986|Sayreville, NJ|311.27465|139.95|-4.857|0.72|nan
Rainbow Dance|John Tchicai|0|Copenhagen, Denmark|182.36036|154.731|-31.391|0.28|0.0
Champagne & Reefer|Bongzilla|2005|Madison, Wisconsin|286.58893|97.265|-4.627|0.45|0.54
No More Doggin'|Otis Spann|1995|Jackson, MS|180.40118|63.255|-12.931|0.37|0.43
I Need a Veggie|John Holt|0|Kingston, Jamaica|228.30975|131.297|-9.603|0.42|0.32
Get Happy|Danny Wilson|0|Dundee, Scotland|126.53669|92.591|-8.515|0.36|0.21
I'll Wait for You Dear|Al Dexter|0|Jacksonville, TX|150.9873|102.707|-16.627|0.31|nan
From Afar (Album Version)|Van Halen|1998|Pasadena, CA|324.23138|87.899|-9.057|0.58|0.69
Cry For Love|Capleton|0||216.81587|137.425|-10.336|0.41|0.0
Uncle B.S. - 1963|Tim Wilson|1999|Georgia|100.67546|88.576|-12.36|0.35|0.0
Wohär dr Wind wäiht|Kisha|0||203.04934|152.792|-7.222|0.35|nan
Volumatic Spacer Device|The Chap|2003|London|207.28118|123.007|-8.337|0.46|0.41
Putt Jhatt Da Gulabi Phull Varga|DJ Vix|0|London|98.76853|195.755|-3.423|0.34|0.27
Namibia|Ziggy Marley And The Melody Makers|0||246.54322|110.873|-11.912|0.54|0.0
Unlearn|Crematorium|0||210.1024|122.186|-7.148|0.31|nan
Vargbrodern Talar|Månegarm|2007|Norrtälje|92.76036|163.086|-6.769|0.42|0.59
Sweet Lady|Ernest Ranglin / Floyd Lloyd|0|Robin's Hall, Jamaica|271.77751|127.07|-4.909|0.42|0.0
Forever|Franco|0|Sona-Bata, Zaire|251.61098|89.984|-9.387|0.45|nan
3|Britney Spears|2009|Kentwood, LA; Los Angeles, CA|465.47546|131.999|-6.278|0.61|nan
