title|artist|year|location|duration|tempo|loudness|artist_hotness|song_hotness
I Didn't Mean To|Casual|0|California - LA|218.93179|92.198|-11.197|0.4019975433642836|0.6021199899057548
Something Girls|Adam Ant|1982|London, England|233.40363|119.293|-9.013|0.4542311565706205|nan
Pink World|Planet P Project|1984||269.81832|86.643|-13.496|0.33227574659906806|0.26586104921065007
Soul Deep|The Box Tops|1969|Memphis, TN|148.03546|121.274|-9.843|0.4174996449709784|nan
Insatiable (Instrumental Version)|Clp|0||266.39628|114.041|-6.697|0.42270564102939107|nan
Keepin It Real (Skit)|Rated R|0|Ohio|114.78159|111.787|-17.302|0.2619411773808474|nan
Face the Ashes|Gob|2007||209.60608|129.738|-4.501|0.40172368550367865|0.6045007385888197
The Moon And I (Ordinary Day Album Version)|Jeff And Sheri Easter|0||267.7024|147.782|-9.323|0.385470550555821|nan
Amor De Cabaret|Sonora Santanera|0||177.47546|100.07|-9.689|0.34342837829688244|nan
Young Boy Blues|JennyAnyKind|0|North Carolina|218.77506|146.765|-10.021|0.29626895431146333|0.0
Drop of Rain|Tweeterfriendly Music|0|Burlington, Ontario, Canada|189.57016|101.43|-11.642|0.6055071356905752|nan
